time,temperature_2m_max,temperature_2m_min,precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant,et0_fao_evapotranspiration (mm)
01-01-2020,26.9,23.7,6.6,20,13.7,93,2.62
02-01-2020,27.3,23.7,2.3,15,11.6,68,2.73
03-01-2020,28.7,23.5,1.6,10,11.8,106,3.3
04-01-2020,28.7,23.6,0.4,4,12.8,134,3.43
05-01-2020,27.6,24.6,5.3,16,11.6,91,2.67
06-01-2020,26.8,23.9,4,18,17.9,62,2.77
07-01-2020,27.9,24.3,2.2,12,22,72,3.69
08-01-2020,27.7,23.8,0.1,1,14.7,63,3.91
09-01-2020,27.4,21.4,0,0,10.5,86,3.96
10-01-2020,27.8,22.5,0,0,14.6,62,4.1
11-01-2020,27.6,21.7,0,0,16.1,47,4.01
12-01-2020,26.8,22.4,2,9,18.1,46,3.07
13-01-2020,27.5,21.4,0.1,1,13.4,47,3.73
14-01-2020,27.2,19.4,0,0,12.7,64,4.18
15-01-2020,27.8,22.2,0,0,14.8,79,4.04
16-01-2020,28,22.4,0,0,15.6,98,4.18
17-01-2020,27.4,22.9,2.2,14,15.8,88,3.22
18-01-2020,27.7,24.3,10.7,13,16.2,85,2.99
19-01-2020,28.4,24.6,0,0,13,73,3.85
20-01-2020,28.4,22.8,0,0,13.5,66,4.17
21-01-2020,28.3,22.7,0,0,16.3,63,4.37
22-01-2020,28.3,23.4,0,0,19.7,55,4.24
23-01-2020,28.2,23.3,0.1,1,16.8,50,4.31
24-01-2020,28.1,20.8,0,0,12.8,38,4.19
25-01-2020,28,19.4,0,0,12.9,44,4.05
26-01-2020,28.1,19.9,0,0,11.6,159,4.04
27-01-2020,28.3,20.6,0,0,17.6,181,4.23
28-01-2020,28.9,21.7,0,0,18.7,164,4.43
29-01-2020,29,22.9,0,0,17.9,158,4.38
30-01-2020,29.2,21.9,0,0,17.1,160,4.3
31-01-2020,29,22.7,0,0,14.8,143,4.36
01-02-2020,29.3,23.7,0,0,15.6,133,4.53
02-02-2020,29,24.3,0,0,16.9,110,4.62
03-02-2020,28.6,23.2,0,0,14.7,85,4.47
04-02-2020,28.7,22.8,1,6,13.7,95,4.14
05-02-2020,29,22.8,0,0,12,108,4.63
