time,temperature_2m_max,temperature_2m_min,precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant,et0_fao_evapotranspiration (mm)
01-01-2021,26.9,24.1,0.1,1,22,44,4.05
02-01-2021,25.4,23.9,15.7,16,21.1,37,1.79
03-01-2021,26.9,23.6,3.5,18,19.5,44,3.03
04-01-2021,26.7,23.6,4.5,16,19.5,49,3.07
05-01-2021,25.9,23.8,17.6,23,16.6,65,1.52
06-01-2021,26.9,23.3,16.1,23,15.5,85,2.28
07-01-2021,27.2,23.5,3.4,23,17.2,45,1.93
08-01-2021,27.8,23.7,4.2,18,13.5,56,2.81
09-01-2021,28,23.6,2,13,18.2,48,3.26
10-01-2021,28,24,0.9,8,19.1,35,2.82
11-01-2021,28,24,3,11,22.1,27,3.15
12-01-2021,28.1,24.3,0.9,7,22.7,33,3.48
13-01-2021,27.9,23.9,0.7,4,21.7,32,3.59
14-01-2021,27.2,23.8,1.6,10,21.9,42,3.02
15-01-2021,28.1,22.9,0,0,14.3,48,3.8
16-01-2021,27.6,21.7,0,0,12.7,53,3.97
17-01-2021,27.2,20.4,0,0,14,51,4.18
18-01-2021,27.8,23,0,0,18.9,45,3.98
19-01-2021,27.9,22.5,0,0,17.6,29,4.4
20-01-2021,27.9,22.4,0,0,14.6,26,3.05
21-01-2021,28.2,23.1,0.2,2,9.7,72,3.39
22-01-2021,28.5,22.9,1.1,7,11.6,92,3.65
23-01-2021,28.2,22.3,0.4,2,10.8,82,3.87
24-01-2021,28.1,21.6,0.3,2,12.6,73,3.55
25-01-2021,28,21.8,0.8,2,12.8,70,3.61
26-01-2021,27.9,20.1,0,0,13.4,50,4.25
27-01-2021,27.5,21.1,0,0,12.2,62,3.99
28-01-2021,28.1,22.5,0.8,5,18.4,57,3.98
29-01-2021,28.4,24,0.7,2,17.9,57,4.39
30-01-2021,28.4,23.6,0,0,15.3,53,4.3
31-01-2021,28.5,23.1,0,0,16.1,61,4.42
01-02-2021,28.5,23.3,0,0,20.2,48,4.63
02-02-2021,28.2,22.2,0.5,5,19.5,56,4.24
03-02-2021,27.9,22.8,0,0,18.6,51,4.47
04-02-2021,28.2,21.2,0,0,18.5,54,4.89
05-02-2021,27.8,20.9,0,0,16.1,42,4.75
06-02-2021,28,20.4,0,0,18.4,45,4.8
07-02-2021,28.7,19.5,0,0,19.1,24,4.76
08-02-2021,28.2,20.4,0,0,20.4,45,4.77
09-02-2021,28.4,23.7,0,0,17.9,56,5.47
10-02-2021,28,19.5,0,0,13.1,59,4.8
11-02-2021,28.2,20.1,0,0,12.6,77,4.81
12-02-2021,28.1,20.7,0,0,13.8,39,5.02
13-02-2021,28.5,21.1,0,0,15.5,59,4.67
14-02-2021,28.3,20.5,0,0,17.2,64,4.51
15-02-2021,28.6,19.9,0,0,15.6,74,4.76
16-02-2021,28.9,20.5,0,0,14.1,102,4.77
17-02-2021,28.3,21.3,0,0,14.4,92,4.64
18-02-2021,28.7,24,0,0,16.9,74,5.46
19-02-2021,27.9,23,4.8,15,20.2,48,3.8
20-02-2021,27.1,22.3,4.6,17,18.3,34,3.19
21-02-2021,26.4,22,11.3,16,17.4,65,2.5
22-02-2021,28.4,23.3,0.6,4,16.8,40,4.19
23-02-2021,28.8,21.9,0,0,15.6,44,4.37
